,2014,2015,2016,2017
Alabama,10,10,10,10
Alaska,3,3,3,3
Arizona,8,8,8,8
Arkansas,11,11,11,11
California,100,102,104,106
Colorado,30,30,30,30
Connecticut,85,85,90,90
Delaware,38,38,39,40
Florida,21,21,21,21
Georgia,6,6,6,6
Hawaii,78,78,79,79
Idaho,5,6,2,2
Illinois,65,65,65,65
Indiana,11,11,12,12
Iowa,25,25,25,24
Kansas,8,4,4,4
Kentucky,7,7,7,7
Louisiana,12,12,12,13
Maine,11,11,11,11
Maryland,63,64,64,64
Massachusetts,101,101,101,101
Michigan,20,21,21,21
Minnesota,39,41,41,41
Mississippi,5,2,2,2
Missouri,8,8,7,2
Montana,4,4,4,4
Nebraska,22,22,22,22
Nevada,11,15,15,21
New Hampshire,10,10,10,9
New Jersey,67,67,67,75
New Mexico,10,10,10,10
New York,76,76,76,76
North Carolina,30,30,30,30
North Dakota,14,14,14,10
Ohio,15,16,16,16
Oklahoma,9,9,9,9
Oregon,24,33,35,35
Pennsylvania,37,37,37,37
Rhode Island,43,43,43,53
South Carolina,12,12,12,12
South Dakota,5,5,5,5
Tennessee,24,24,22,22
Texas,20,20,18,18
Utah,11,11,11,13
Vermont,3,6,6,6
Virginia,12,12,13,13
Washington,41,41,43,43
West Virginia,24,24,18,18
Wisconsin,24,23,23,23
Wyoming,6,6,6,6
